Lesson,Frequency,Hebrew,English,POS,Category
5Q,21,סוֹד,confidential conversation,Noun,Personal Interactions
5Q,21,סָחַר,"to pass through, wander around",Verb,Movement Verbs
5Q,21,סָפָה,to take away,Verb,Movement Verbs
5Q,21,סֶרֶן,(pl) prince,Noun,Humans and Anatomy
5Q,21,עָוֶל,"wrong, injustice",Noun,
5Q,21,עָנָו,(Ketib; adj) humble,Adjective,
5Q,21,פָּקַח,(v) to open,Verb,Action and Stative Verbs
5Q,21,פַּרְסָה,(divided) hoof,Adjective,
5Q,21,צוּם,(v) to fast,Verb,Food
5Q,21,צְעָקָה,"(n) cry, call for help",Noun,Personal Interactions
5Q,21,רָחָב,"(adj) wide, broad",Adjective,Measurement and Numbers
5Q,21,שָׂמֵחַ,"(adj) joyful, glad",Adjective,
5Q,21,שָׁאַג,(v) to roar,Verb,Action and Stative Verbs
5Q,21,שָׁבַר,to buy (food),Verb,Action and Stative Verbs
5Q,21,שָׁגָה,"to stray, go astray",Verb,Movement Verbs
5Q,21,שַׁד,(du) breast,Noun,Humans and Anatomy
5Q,21,שַׁחַק,(collec) dust; clouds of dust (?),Noun,Heavens and Earth
5Q,21,תַּאֲוָה,"longing, desire",Noun,
5Q,21,תָּמַךְ,to grasp,Verb,Action and Stative Verbs
5R,20,אֱלִיל,worthless; (ext) pagan gods,Noun,Worship/Cultic
5R,20,בִּקְעָה,"plain, broad valley",Noun,Heavens and Earth
5R,20,בְּרוֹשׁ,(Phoenician) juniper,Noun,Plants and Animals
5R,20,גַּל,heap,Noun,
5R,20,חָבַל,to take (something) in pledge,Verb,Movement Verbs
5R,20,חָלִיל,(neg interj) be it far from,Interjection,
5R,20,חָתָן,son-in-law; bridegroom,Noun,Family and Tribe
5R,20,יָחַשׂ,(Hith) be enrolled (in genealogical registry),Verb,Action and Stative Verbs
5R,20,יָנָה,"to be violent, oppress; (Hi) oppress",Verb,Action and Stative Verbs
5R,20,יְסוֹד,"foundation (-wall), base",Noun,Building and Travel
5R,20,מְהֵרָה,"(n) speed, haste; (adv) quickly",Noun,
5R,20,מוּשׁ,to withdraw; (Hi) remove,Verb,Movement Verbs
5R,20,מְזוּזָה,doorpost,Noun,Building and Travel
5R,20,מַחְסֶה,refuge,Noun,
5R,20,מִקְלָט,"refuge, asylum",Noun,
5R,20,מִשְׁמָר,guard,Noun,
5R,20,עֲלִיָּה,"upper room, roof chamber",Noun,Building and Travel
5R,20,עָמַל,"to labor, exert oneself",Verb,Action and Stative Verbs
5R,20,עָרִיץ,"(adj) violent, mighty; (n) master",Adjective,
5R,20,עָתַר,to pray; (Ni) be moved by entreaties,Verb,Worship/Cultic
5R,20,צִנָּה,shield,Noun,Lands and Warfare
5R,20,צַר,(adj) narrow; (n) distress,Adjective,
5R,20,צָרַע,"(Qal, Pu Part) suffering from a skin disease",Verb,Action and Stative Verbs
5R,20,קַיִץ,summer; summer fruit,Noun,Food
5R,20,קָסַם,to practice divination,Verb,Worship/Cultic
5R,20,שָׂגַב,to be (too) high; be fortified,Verb,Action and Stative Verbs
5R,20,"שֵׂיב, שֵׂיבָה",old age,Noun,Humans and Anatomy
5R,20,שִׂיחַ,"to be(come) concerned, consider",Verb,Action and Stative Verbs
5R,20,שָׁבוּעַ,week,Noun,Time and Seasons
5R,20,שָׁכֵן,"inhabitant, neighbor",Noun,Personal Interactions
5R,20,שְׁפֵלָה,the lowland(s),Noun,Lands and Warfare
5R,20,תַּבְנִית,"shape, form; pattern",Noun,
5R,20,תֹּהוּ,"wasteland, formlessness; nothingness",Noun,Heavens and Earth
5S,19,אוּלָם,"(advers) on the other hand, however",Conjunction,
5S,19,אָפִיץ,stream-channel,Noun,Heavens and Earth
5S,19,אַשְׁמָה,guilt,Noun,Worship/Cultic
5S,19,בָּרַר,"to purge out, sort; sharpen (II?)",Verb,Action and Stative Verbs
5S,19,גַּאֲוָה,loftiness; haughtiness,Noun,
